Park,Site,Score (0-5),Verdict,Hangs,Tree spans (ft),Ground / tent notes,Setting,Cautions & extras,"What he said (auto-caption, verbatim)"
Lake Maria,B11,5,Star site,4-5,not measured,"Flat, flat, flat; drains fast",End of the line - secluded and big; no lake view,Largest site he saw. Don't take the hang that crosses the latrine path. One rock at the entrance to avoid.,I'd say B11 is your star campsite so far
Lake Maria,B13,5,Excellent,3,needs slightly larger straps,"Flat, little leaf litter, can get muddy","Wooded, no lake view",Three spans called out one after another. No widow-makers overhead.,an A for hammocks just bring slightly larger straps
Lake Maria,B6,4,Good,2-3,one pair under 10 ft - reach for a farther tree,Back end noticeably slanted; flat near the fire ring,Right on the pond (turtles); its own privy,"Options both inside and outside the site, but don't hang across the walking/deer trail.",you could hang two or three in here
Lake Maria,B4,4,Good,2-3,not measured,"Large, slightly slanted; muddy low area, high and dry up top",Off the beaten path over a little bridge; swamp on both sides,Rivals B11 for size. Bring bug spray.,we got one we got two and we've got maybe a third spot if you want to sleep over a stump
Lake Maria,B9,3,Decent,1-2,not measured,Cozy but good; two tent spots,"Privy shared with B10, uphill",,good for hammocks good for tents
Lake Maria,B1,3,Decent (seen from afar),some,not measured,"Up on a hill, some slanted ground",Occupied when he filmed - assessed at a distance,"He rates it green for hammocks and room for 4 tents, but never walked it.",definitely some trees in there for hammocking
Lake Maria,G2 Oak Hill (group),3,Moderate,a few,thick trunks - big straps,More slanted than Whitetail near the lot; very flat spots farther in,Group site overlooking a pond; ~2.5 fire rings,Big enough that even modest tree density yields several hangs. He guesses ~20 people fit.,based on the trees though modestly hammock friendly even for a big site
Lake Maria,B16,2,Marginal,1-2,not measured,Nice tent pad plus a second flat area,Non-reservable; near Sloth/Slog Lake with a good view out,"Young and old growth with nothing in between. Oddly, every tree in the site leans.",potential hammocking there definite hammocking over there
Lake Maria,B12,2,Marginal,1-2,"~10 (tight), ~12, or ~16 to the big tree","Very flat, one small rock and a dip",Wooded,All three options need long straps.,you got options but you need big straps
Lake Maria,B15,1,Poor,1 (a stretch),long - he barely made it work,"Flat, flat, flat",Overlooks Maria Lake (Bjorkland on the map); shares a privy with B14,He and his wife stayed here; the single hang he found was a real reach. Took 4 inches of rain that night.,the only place that I could find a hammock was from here to there and it was a stretch
Lake Maria,B10,1,Poor,1,not measured,Slanted across the site; flat by the food box,Uphill climb in; privy shared with B9,The one hang option risks blocking the latrine path.,not the best for hammocking pretty good for tenting
Lake Maria,B17,1,Poor,"maybe 1, tricky",not measured,"Decently flat, good tent space",Most secluded of the near sites; lake off in the distance; swamp with frogs behind,Woodpecker damage and a clear widow-maker he'd not camp under. Don't hang over the latrine trail.,you might be able to finagle one in here but it's probably going to be tricky
Lake Maria,B5,1,Poor,maybe 1,"small hammock only, big tree to little tree",Level in spots; slanted and lumpy near the ring,Very easy walk in; water and privy close,The other option means hanging toward the privy - he says don't.,overall this is a very tent friendly site not very friendly for hammocks
Lake Maria,B3,0,Avoid for hanging,0,trees too far apart,Slanted on a hill,By the camper cabin and water,The site that taught him to check tree spacing - trunks are huge and too widely spaced.,the trees are too far apart for hammocking and they're huge
Lake Maria,G1 Whitetail (group),,Not assessed,,,"Lots of good flat space, upper and lower",True group site overlooking a pond; own privy; 2 fire rings,No hammock read given. The pad next to the privy is the short straw if the wind is wrong.,more space than you can think of this is a true group campsite
Lake Maria,B14,,Gap-filled (SCOUT),,not stated,Two prime tent areas; obviously tentable ground,Best/closest view of Lake Maria - 'pretty much right on' the lake; shared latrine with B15,"Most popular site in the park, first to book (both sources agree). One 'really awesome' big tree on site; no tree-pair info for hanging - treat as tent-first until walked.",SCOUT walkthrough 4/2026: 'probably the most popular site... most awesome view... I would highly recommend this site' (no hammock read)
Lake Maria,B8,1,Poor (inferred),0-1,trees a little far apart,Mild slant; flat tent area with roots; downhill entry,Close to Lake Maria with a lake view; new bear locker; latrine uphill,INFERRED downgrade: the SCOUT walkthrough notes 'tree is a little far away' and a widow-maker on site - both bad signs for hanging. MN Hiker's guess that it resembled B11 does not hold for hammocks.,SCOUT walkthrough 4/2026: 'This site looks amazing. Tree is a little far away... Widowmaker action' (no hammock read)
Lake Maria,B7,,Gap-filled (SCOUT),,not stated,Island-feel knoll; steep climb after a marsh boardwalk/bridge; tent spots for two,"The most secluded site; surrounded by marsh, feels like an island; birch on site",Cipher-Tu (tent camper) calls it his favorite - 'I absolutely love this site' - but gives no tree-spacing read; higher-effort approach; latrine placement he dislikes. Horses share the trail May 1-Nov 1 (MN Hiker).,SCOUT walkthrough 4/2026: 'it kind of feels like you're on an island... I love this site' (no hammock read)
Wild River,Aspen Knob,4,Confirmed hang,2+ (two best trees),not stated,"Tent pad, fire ring, bear box, own latrine; 1.3 mi in, rolling but gentler than Afton","Set 150-200 ft off the main trail, fully wooded, no lake/river view, little sky",PARK OFFICE RECOMMENDED for hammocks (by email) and the videographer hung here. Bugs moderate; wood gatherable at backpack sites.,Trip video (Tjev63PKq14): 'those two trees in the center of the frame are the best options for hanging a hammock... Aspen Knob's certainly suitable'
Wild River,Spring Creek,3,Office-recommended,not stated,not stated,Backpack site off the River Trail,"Along the St. Croix, ~1 mi from the boat landing, river views on the walk in",The other of the two sites the park office named when asked which suit hammocks; no first-hand hang footage found.,Same video: 'when I was emailing the park office about suitable places to hammock camp they recommended this one as well as Aspen Knob'
Wild River,Deer Creek,3,One good hang (reviewer),1,not stated,Fire ring and picnic table overlooking creek and river,~30 min hike from the visitor center; also canoe-accessible,A Tripadvisor camper found a pine-grove nook that fits a small tent or 'the perfect spot to hang a hammock'.,Tripadvisor review: 'a spot nestled in some pine trees... the perfect spot to hang a hammock'
Wild River,Buck Hill,0,Avoid for hanging,0,-,Beautiful site otherwise,Backpack site,A four-person hammock group had to abandon it and rebook another site.,Backpacking with Barkley (e8NB4gLUhWY): 'there is not a single hammock option... not hammock friendly at all'
Wild River,Dry Creek,,Not assessed,,,,Beyond a run of steep hills past Aspen Knob,The Aspen Knob videographer turned around at the hills; park office warned wood may be scarce there.,Same video: 'a lot of hills including this really steep one that made me think enough was enough'
Nerstrand Big Woods,Walk-in sites (4),,Likely good (inferred),,not surveyed,Tent-only walk-ins; easy access,Maple-basswood old-growth Big Woods remnant; waterfall hike; ~40 min south by Northfield,"INFERRED: mature hardwood forest almost guarantees hangable pairs, but nobody has published a site-level survey; the SCOUT all-camp-spots video has no captions to mine. Forum posters recommend it for a first hang.","hammockforums (zoo, 2012): 'Nerstrand State Park - primitive walk-in sites: good hiking, nice waterfall... easy access'"
Frontenac,Cart-in C6,,Most private (inferred),,not stated,Ground rough and lumpy for tents - which favors a hammock if pairs exist,"Just over the bluff from the Mississippi/Lake Pepin, across from Maiden Rock; most secluded site in the park bar the backpack pair",INFERRED: the SCOUT narrator (tent camper) never rates hangs; he calls C6 the most private secluded campsite in the park but not ideal for a tent - scout trees in person.,SCOUT cart-in video (o6Foux_2hYk): 'this is the most private site... laying a tent on this wouldn't be kind'
Frontenac,Cart-in C3,,Narrator's pick (inferred),,not stated,"Level grass, good fire pit",Closest to the (very nice) vault toilet; C4 is uncomfortably close next door,His favorite cart-in and the one he booked; a 'really cool tree' on site. No hammock info - inferred only.,Same video: 'you got this really cool tree right here... this is my favorite site so far here'
Frontenac,Backpack sites (2),,Not assessed,,,Wood provided,A hike out from the cart-in area; the two sites sit near each other,Exist per the SCOUT narrator; no walkthrough with captions found.,Same video: 'there are backpack sites over there... they do provide wood over there'
Sand Dunes SF,Dispersed / Ann Lake walk-ins,,"Confirmed hangs, one hazard",,your pick,Free dispersed camping plus walk-in sites at the campground,Oak/pine forest by Zimmerman; quietest after a hard freeze,"Forum hangers camp here without hassle - but POISON IVY is endemic: one regular got it badly twice, once in early spring in long clothing.","hammockforums (mooseprime, 2016): 'the last 2 times I ventured into the Sand Dunes for dispersed camping, I got poison ivy pretty bad'"
Cleary Lake Regional,Lakeside walk-in,3,One good site,several trees,not stated,"Walk-in on a trail with little foot traffic, no neighboring sites",Right on the lake; closest option to the metro on this list (Prior Lake),The OTHER walk-ins at Cleary are explicitly NOT hammock-friendly - book the lakeside one. Canoe-in island group site also has room to hang.,"hammockforums (zoo, 2012): 'the one by the lake has some real nice trees to string up from... the other walk-in sites... aren't really conducive to hammocks'"
Sakatah Lake,Site 3 (drive-in),5,Group-hang best,8-10,not stated,Drive-in campground - not backpacking,Rangers hammock-friendly; on the Sakatah Singing Hills bike trail (Waterville),"From a 2017 four-sister survey of the whole campground for group hangs. Max 6 campers/site. Runners-up: site 1 (4-6), sites 6 & 8 (5-6), site 11 (3-4). Three bike-in sites exist, unsurveyed.","hammockforums (GingeGirl, 2017): 'Site 3: 8-10 hammocks' - full site-by-site list in the thread"
